client id	R	F	M	RFM Score	cluster id
00003	5	5	4	14	2
00004	3	1	1	5	4
00005	3	5	5	13	2
00007	4	4	5	13	2
00008	4	5	4	13	2
00009	5	1	3	9	4
00011	3	1	1	5	4
00016	1	1	1	3	3
00024	3	1	1	5	4
00025	5	5	4	14	2
00029	4	5	4	13	2
00031	5	5	4	14	2
00032	4	1	1	6	4
00033	4	5	5	14	2
00035	1	1	1	3	3
00037	5	4	4	13	2
00039	4	4	4	12	2
00040	4	5	5	14	2
00043	5	4	3	12	2
00046	1	4	3	8	1
00047	5	5	4	14	2
00048	5	5	5	15	2
00051	1	5	5	11	1
00052	5	1	4	10	4
00053	5	5	3	13	2
00056	3	1	4	8	4
00062	1	5	4	10	1
00063	5	5	4	14	2
00064	5	5	5	15	2
00065	4	4	3	11	1
00078	4	1	3	8	4
00081	1	4	3	8	1
00082	4	5	5	14	2
00083	4	1	1	6	4
00087	1	1	3	5	3
00088	1	1	1	3	3
00089	5	5	5	15	2
00095	5	5	5	15	2
00096	5	5	5	15	2
00097	4	5	5	14	2
00099	3	5	5	13	2
00100	4	4	3	11	1
00102	3	4	4	11	1
00103	4	1	3	8	4
00106	3	5	4	12	1
00111	5	5	5	15	2
00113	4	4	1	9	1
00114	3	5	4	12	1
00117	4	1	1	6	4
00120	3	1	1	5	4
00124	3	5	4	12	1
00125	5	5	4	14	2
00126	1	1	5	7	3
00130	4	4	1	9	1
00132	5	4	4	13	2
00133	1	1	3	5	3
00134	3	1	1	5	4
00136	1	1	3	5	3
00141	5	5	3	13	2
00142	4	4	3	11	1
00145	5	5	5	15	2
00147	3	5	5	13	2
00148	4	5	4	13	2
00152	3	4	4	11	1
00154	4	5	3	12	1
00161	5	5	5	15	2
00164	5	4	4	13	2
00165	5	4	1	10	1
00166	5	5	5	15	2
00167	3	5	4	12	1
00170	3	1	3	7	4
00173	4	1	3	8	4
00177	5	5	5	15	2
00179	3	5	3	11	1
00182	5	5	4	14	2
00184	5	1	1	7	4
00185	5	4	4	13	2
00186	1	1	1	3	3
00195	3	5	4	12	1
00201	4	5	3	12	1
00205	3	1	3	7	4
00207	1	1	3	5	3
00208	3	1	4	8	4
00210	4	1	1	6	4
00214	1	1	3	5	3
00217	5	5	5	15	2
00222	1	1	3	5	3
00226	5	4	4	13	2
00228	3	4	4	11	1
00229	5	4	3	12	2
00241	5	4	4	13	2
00244	5	5	5	15	2
00245	5	5	5	15	2
00246	5	5	5	15	2
00247	5	4	3	12	2
00252	5	5	5	15	2
00257	4	4	3	11	1
00276	5	1	1	7	4
00277	4	1	1	6	4
00292	3	1	1	5	4
00293	4	1	4	9	4
00294	1	1	1	3	3
00295	4	4	5	13	2
00299	1	1	1	3	3
00300	5	5	5	15	2
00301	1	1	3	5	3
00305	1	1	4	6	3
00312	3	1	1	5	4
00313	5	5	5	15	2
00317	3	5	5	13	2
00318	3	1	1	5	4
00323	5	5	5	15	2
00324	1	1	3	5	3
00328	5	5	5	15	2
00329	3	4	3	10	1
00337	4	1	1	6	4
00339	1	4	5	10	1
00343	1	1	3	5	3
00344	5	5	5	15	2
00345	1	1	4	6	3
00358	5	5	4	14	2
00360	5	5	4	14	2
00361	3	1	1	5	4
00365	4	5	5	14	2
00368	1	1	4	6	3
00370	3	1	3	7	4
00371	3	1	1	5	4
00373	3	1	1	5	4
00374	5	5	5	15	2
00376	5	1	1	7	4
00387	5	5	5	15	2
00389	5	5	5	15	2
00396	5	5	4	14	2
00398	5	5	5	15	2
00400	4	5	3	12	1
00404	4	1	1	6	4
00406	5	5	5	15	2
00410	1	1	1	3	3
00411	3	5	5	13	2
00412	3	1	1	5	4
00417	1	1	3	5	3
00424	5	5	5	15	2
00429	5	1	4	10	4
00430	5	4	4	13	2
00431	5	4	4	13	2
00433	5	5	5	15	2
00441	5	5	4	14	2
00445	4	4	3	11	1
00446	5	4	1	10	1
00454	1	1	1	3	3
00456	1	5	5	11	1
00458	5	5	4	14	2
00461	1	1	4	6	3
00464	5	5	4	14	2
00468	1	1	1	3	3
00474	3	1	3	7	4
00484	5	5	4	14	2
00485	4	5	5	14	2
00488	3	1	1	5	4
00490	1	1	1	3	3
00492	5	4	3	12	2
00496	1	1	1	3	3
00499	5	5	5	15	2
00502	1	1	1	3	3
00504	3	1	5	9	4
00505	3	1	1	5	4
00519	5	5	5	15	2
00523	1	1	1	3	3
00525	1	1	3	5	3
00545	1	1	4	6	3
00546	5	5	5	15	2
00547	5	4	3	12	2
00548	5	5	4	14	2
00559	5	4	5	14	2
00561	5	5	5	15	2
00564	5	5	5	15	2
00566	4	4	4	12	2
00567	4	5	5	14	2
00568	5	4	3	12	2
00569	1	1	3	5	3
00570	3	4	5	12	1
00572	5	5	4	14	2
00573	1	1	1	3	3
00582	1	1	1	3	3
00583	3	4	4	11	1
00585	5	5	4	14	2
00586	1	5	5	11	1
00587	1	1	1	3	3
00589	3	1	3	7	4
00590	3	1	1	5	4
00591	5	4	1	10	1
00593	5	5	5	15	2
00595	3	1	1	5	4
00596	1	1	3	5	3
00598	1	1	3	5	3
00606	4	1	1	6	4
00608	5	1	4	10	4
00609	3	4	5	12	1
00610	5	1	4	10	4
00611	1	1	1	3	3
00614	4	4	1	9	1
00616	5	1	1	7	4
00619	5	5	5	15	2
00624	1	1	3	5	3
00625	1	1	3	5	3
00626	5	5	5	15	2
00629	4	4	4	12	2
00631	4	1	1	6	4
00635	4	5	5	14	2
00638	5	1	1	7	4
00643	4	5	5	14	2
00645	4	5	3	12	1
00646	3	1	1	5	4
00649	3	1	3	7	4
00653	4	4	3	11	1
00656	4	4	4	12	2
00659	5	5	5	15	2
00662	4	1	1	6	4
00663	5	5	5	15	2
00670	5	4	3	12	2
00671	3	1	1	5	4
00687	4	1	3	8	4
00691	5	5	5	15	2
00698	4	5	4	13	2
00699	3	1	1	5	4
00702	3	4	3	10	1
00704	3	1	3	7	4
00705	3	1	1	5	4
00710	5	5	5	15	2
00711	5	5	5	15	2
00712	3	1	3	7	4
00717	3	1	1	5	4
00718	5	5	3	13	2
00722	4	4	4	12	2
00729	5	5	5	15	2
00730	3	5	5	13	2
00731	1	1	3	5	3
00732	1	1	3	5	3
00735	5	4	1	10	1
00737	5	1	3	9	4
00744	1	4	5	10	1
00753	1	4	3	8	1
00758	5	5	5	15	2
00759	3	1	1	5	4
00760	4	1	1	6	4
00764	4	4	3	11	1
00765	3	1	1	5	4
00767	1	5	4	10	1
00772	4	5	5	14	2
00773	3	5	4	12	1
00776	5	4	3	12	2
00780	3	1	1	5	4
00783	5	5	4	14	2
00784	1	1	4	6	3
00789	4	1	3	8	4
00790	5	5	5	15	2
00797	5	5	5	15	2
00799	3	5	5	13	2
00800	3	4	4	11	1
00804	4	4	4	12	2
00805	5	4	3	12	2
00806	4	4	4	12	2
00808	5	5	5	15	2
00811	1	4	4	9	1
00820	3	1	1	5	4
00821	1	4	3	8	1
00824	5	5	5	15	2
00825	3	5	5	13	2
00827	3	4	4	11	1
00830	3	1	1	5	4
00836	1	1	5	7	3
00837	1	1	1	3	3
00840	3	4	3	10	1
00845	5	5	5	15	2
00846	4	4	4	12	2
00848	5	5	4	14	2
00849	5	5	3	13	2
00850	1	5	5	11	1
00856	3	1	5	9	4
00859	1	1	1	3	3
00860	5	5	3	13	2
00861	3	1	1	5	4
00870	4	4	4	12	2
00871	5	1	1	7	4
00873	3	5	3	11	1
00874	5	4	4	13	2
00881	4	1	4	9	4
00887	4	5	5	14	2
00891	5	1	3	9	4
00892	5	5	3	13	2
00894	3	1	1	5	4
00896	5	5	3	13	2
00901	1	1	1	3	3
00910	5	5	5	15	2
00915	3	4	3	10	1
00918	3	1	1	5	4
00920	5	5	5	15	2
00923	4	4	4	12	2
00924	1	1	4	6	3
00926	3	4	4	11	1
00927	3	5	4	12	1
00931	5	1	1	7	4
00932	4	1	1	6	4
00938	4	1	5	10	4
00941	3	5	4	12	1
00942	3	1	1	5	4
00945	1	1	1	3	3
00946	3	5	4	12	1
00951	4	4	4	12	2
00962	5	5	4	14	2
00965	5	5	4	14	2
00968	3	1	1	5	4
00979	4	5	5	14	2
00980	5	5	5	15	2
00981	4	1	5	10	4
00985	3	1	3	7	4
00988	1	1	3	5	3
00991	5	1	4	10	4
00992	3	4	3	10	1
00993	3	4	3	10	1
00994	1	1	1	3	3
00997	1	4	4	9	1
00998	4	1	1	6	4
00999	4	1	1	6	4
01002	5	1	1	7	4
01004	3	1	5	9	4
01016	1	1	1	3	3
01018	5	5	5	15	2
01025	5	5	3	13	2
